vacuum_name,clean_name
3M,3MINNOVATIVEPPTYS
ABBOTT,ABBOTTLAB
ADOBE,ADOBE
ADVANCEDMICRODEVICES,ADVANCEDMICRODEVICES
AGFA,AGFAGEVAERT
AGILENT,AGILENTTECH
ALCATELLUCENT,ALCATELLUCENT
ALTERA,ALTERA
CYANAMID,AMERNCYANAMID
ANALOGDEVICES,ANALOGDEVICES
APPLIEDMATERIALS,APPLIEDMATERIALS
ASML,ASML
ASUS,ASUS
AMERNTELEPHONEANDTELEGRAPH,ATANDT
ATANDT,ATANDT
AUO,AUOPTRONICS
BAKERHUGHES,BAKERHUGHES
BASF,BASF
BAYERISCHEMOTORENWERKE,BAYERISCHEMOTORENWERKE
BMW,BAYERISCHEMOTORENWERKE
BECTONDICKINSON,BECTONDICKINSON
BENDIX,BENDIX
BLACKANDDECKER,BLACKANDDECKER
BOEING,BOEING
BOETECH,BOETECHGP
BORGWARNER,BORGWARNER
BOSCH,BOSCH
ROBERTBOSCH,BOSCH
BOSTONSCIENTIFIC,BOSTONSCIENTIFIC
BRIDGESTONE,BRIDGESTONE
BROADCOM,BROADCOM
BROTHER,BROTHERKOGYO
CALIFORNIAINSTITUTEOFTECH,CALIFORNIAINSTITUTEOFTECH
CARDIACPACE,CARDIACPACEMAKERS
GUIDANTCARDIAC,CARDIACPACEMAKERS
CARLZEISS,CARLZEISS
CASIO,CASIOCOMPUTER
CATERPILLAR,CATERPILLAR
CELANESE,CELANESE
CHRYSLER,CHRYSLERGP
CIBAGEIGY,CIBAGEIGY
CISCO,CISCOTECH
CNHIND,CNHINDUS
COLGATEPALMOLIVE,COLGATEPALMOLIVE
CONOCOPHILLIPS,CONOCOPHILLIPS
CORNING,CORNING
DEERE,DEERE
JOHNDEERE,DEERE
DELPHITECH,DELPHITECH
DENSO,DENSO
DOWCORNING,DOWCORNING
EASTMANKODAK,EASTMANKODAK
KODAK,EASTMANKODAK
DUPONT,EIDUPONTDENEMOURS
EIDUPONT,EIDUPONTDENEMOURS
ELILILLY,ELILILLY
EMHART,EMHART
ERICSSON,ERICSSON
ETHICON,ETHICON
EXXONMOBIL,EXXONMOBILOIL
FACEBOOK,FACEBOOK
FANUC,FANUC
FMC,FMC
FREESCALE,FREESCALESEMICONDUCTOR
FUJITSU,FUJITSU
GAF,GAF
GENMOTORS,GENMOTORS
GMGLOBALTECH,GENMOTORS
GOODRICH,GOODRICH
GOODYEAR,GOODYEARTIREANDRUBBER
GOOGLE,GOOGLE
HALLIBURTON,HALLIBURTON
HEWLETTPACKARD,HEWLETTPACKARDDEV
HITACHI,HITACHI
HOFFMANNLAROCHE,HOFFMANNLAROCHE
HONDA,HONDAMOTOR
HONEYWELL,HONEYWELLINT
HONHAI,HONHAIPRECISIONIND
HUAWEI,HUAWEITECH
HUGHESAIR,HUGHESAIRCRAFT
HYNIX,HYNIXSEMICONDUCTOR
ILLINOISTOOL,ILLINOISTOOLWORKS
IMPERIALCHEMIND,IMPERIALCHEMIND
INDTECHRESEARCHINSTITUTE,INDTECHRESEARCHINSTITUTE
INFINEONTECH,INFINEONTECH
INTSTANDARDELEC,INTSTANDARDELEC
JAPANDISPLAY,JAPANDISPLAY
KIMBERLYCLARK,KIMBERLYCLARK
KONICAMINOLTA,KONICAMINOLTA
KYOCERA,KYOCERA
LENOVO,LENOVOSINGAPORE
LGDISPLAY,LGDISPLAY
LOCKHEEDMARTIN,LOCKHEEDMARTIN
LOREAL,LOREAL
MARVELL,MARVELLINT
MASSACHUSETTSINSTITUTEOFTECH,MASSACHUSETTSINSTITUTEOFTECH
MATSUSHITA,MATSUSHITAINDUSTRY
MAZDA,MAZDAMOTOR
MEDIATEK,MEDIATEK
MEDTRONIC,MEDTRONIC
MERCKSHARPANDDOHME,MERCKSHARPANDDOHME
MICRONTECH,MICRONTECH
MICROSOFT,MICROSOFTTECH
MINOLTA,MINOLTA
MITSUBISHIELEC,MITSUBISHIELEC
MITSUI,MITSUI
MOBILOIL,MOBILOIL
MONSANTO,MONSANTOTECH
MOTOROLA,MOTOROLASOLTNS
INTHARVESTER,NAVISTAR
NAVISTAR,NAVISTAR
NGKINS,NGKINSULATORS
NIKON,NIKON
NISSAN,NISSANMOTOR
NOKIA,NOKIATECH
NORTEL,NORTELNETWORKS
NORTHROPGRUMMAN,NORTHROPGRUMMANSYS
NOVARTIS,NOVARTIS
NVIDIA,NVIDIA
NXP,NXP
OKIELEC,OKIELECINDUSTRY
OLIN,OLIN
OLYMPUS,OLYMPUS
OMRON,OMRON
ORACLE,ORACLEINT
OSRAM,OSRAM
OWENSILLINOIS,OWENSILLINOIS
PANASONIC,PANASONIC
PFIZER,PFIZER
PHARMACIAANDUPJOHN,PHARMACIAANDUPJOHN
KONINKLIJKLEPHILIPS,PHILIPS
NORTHAMERNPHILIPS,PHILIPS
PHILIPS,PHILIPS
PIONEERHIBRED,PIONEERHIBREDINT
POLAROID,POLAROID
PPG,PPGTECH
PROCTERANDGAMBLE,PROCTERANDGAMBLE
QUALCOMM,QUALCOMM
RAYTHEON,RAYTHEONTECH
RENESAS,RENESASELECTRONICS
RICOH,RICOH
ROCKWELLAUTOMA,ROCKWELLAUTOMATIONTECH
ROCKWELLCOLLINS,ROCKWELLCOLLINS
ROHMANDHAAS,ROHMANDHAAS
ROLLSROYCE,ROLLSROYCE
SAINTGOBAIN,SAINTGOBAIN
STGOBAIN,SAINTGOBAIN
SAMSUNG,SAMSUNGELECTRONICS
SANDISK,SANDISK
SEIKO,SEIKO
SEMICONDUCTORENERGYLAB,SEMICONDUCTORENERGYLAB
SHELLOIL,SHELLOIL
SHINETSU,SHINETSUCHEM
SIEMENS,SIEMENS
SILVERBROOKRES,SILVERBROOKRESEARCH
SKHYNIX,SKHYNIX
STANDARDOIL,STANDARDOIL
STMICRO,STMICROELECTRONICS
SUMITOMO,SUMITOMO
SUNMICRO,SUNMICROSYSTEMS
TAIWANSEMICONDUCTOR,TAIWANSEMICONDUCTORMFG
TDK,TDK
TEXACO,TEXACO
TEXASINSTR,TEXASINSTR
TEXTRON,TEXTRON
TOKYOELECTRON,TOKYOELECTRON
TOYOTA,TOYOTAJIDOSHA
UNIONCARBIDE,UNIONCARBIDE
UNIONOILOFCALIFORNIA,UNIONOILOFCALIFORNIA
UNIROYAL,UNIROYAL
USRUBBER,UNIROYAL
UNITEDMICROELEC,UNITEDMICROELECTRONICS
UNITEDTECH,UNITEDTECH
UNIVERSITYOFFLORIDARESEARCHFOUNDATION,UNIVERSITYOFFLORIDARESEARCHFOUNDATION
UNIVERSALOILPROD,UOP
UOP,UOP
VALEO,VALEO
VERIZON,VERIZONPATENT
WESTERNDIGITAL,WESTERNDIGITALTECH
WESTINGHOUSEAIRBRAKE,WESTINGHOUSEAIRBRAKETECH
WHIRLPOOL,WHIRLPOOL
WYETH,WYETH
XEROX,XEROX
XILINX,XILINX
YAMAHA,YAMAHA
